xentraldesk-worker  | INFO:app.services.knowledge_service:Γòæ DOC_ID: a56cd44e-439e-4bbc-a086-e36d1340783b  Γòæ
xentraldesk-worker  | INFO:app.services.knowledge_service:ΓòÜΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓò¥
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/robots.txt "HTTP/1.1 200 OK"
xentraldesk-worker  | WARNING:app.connectors.website_connector:robots.txt at https://mcgatetechnologies.com/robots.txt returned HTML. Likely an SPA catch-all. Ignoring restrictions.
xentraldesk-worker  | INFO:app.connectors.website_connector:≡ƒÄ» TARGET MODE: Processing 7 user-selected URLs
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [1/7]: https://mcgatetechnologies.com/
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/ "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/', 'mode': 'browser', 'depth': 0, 'duration_ms': 52825.22, 'chars': 1014}
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ£ô Extracted: Architecting the Future (1014 chars)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [2/7]: https://mcgatetechnologies.com/contact
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/contact "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/contact, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/contact
xentraldesk-worker  | WARNING:app.connectors.website_connector:Skipping https://mcgatetechnologies.com/contact (Insufficient content after removal of boiler-plate)
xentraldesk-worker  | WARNING:app.connectors.website_connector:Γ£ù No content extracted from: https://mcgatetechnologies.com/contact
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [3/7]: https://mcgatetechnologies.com/privacy
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/privacy "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/privacy, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/privacy
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/privacy', 'mode': 'browser', 'depth': 0, 'duration_ms': 42485.66, 'chars': 1014}
xentraldesk-worker  | INFO:app.connectors.website_connector:Skipping https://mcgatetechnologies.com/privacy (duplicate content)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [4/7]: https://mcgatetechnologies.com/terms
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/terms "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/terms, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/terms
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/terms', 'mode': 'browser', 'depth': 0, 'duration_ms': 44353.86, 'chars': 1014}
xentraldesk-worker  | INFO:app.connectors.website_connector:Skipping https://mcgatetechnologies.com/terms (duplicate content)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [5/7]: https://mcgatetechnologies.com/careers
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/careers "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/careers, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/careers
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/careers', 'mode': 'browser', 'depth': 0, 'duration_ms': 41575.3, 'chars': 1014}
xentraldesk-worker  | INFO:app.connectors.website_connector:Skipping https://mcgatetechnologies.com/careers (duplicate content)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [6/7]: https://mcgatetechnologies.com/about
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/about "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/about, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/about
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/about', 'mode': 'browser', 'depth': 0, 'duration_ms': 39070.27, 'chars': 1058}
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ£ô Extracted: Defining the Visionary Standard (1058 chars)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ₧ñ Processing target [7/7]: https://mcgatetechnologies.com/services
xentraldesk-worker  | INFO:httpx:HTTP Request: GET https://mcgatetechnologies.com/services "HTTP/1.1 200 OK"
xentraldesk-worker  | INFO:app.connectors.website_connector:ΓÜá∩╕Å SPA Detected at https://mcgatetechnologies.com/services, triggering Playwright fallback.
xentraldesk-worker  | INFO:app.services.browser_service:Browser fetching: https://mcgatetechnologies.com/services
xentraldesk-worker  | INFO:app.connectors.website_connector:{'event': 'page_ingested', 'url': 'https://mcgatetechnologies.com/services', 'mode': 'browser', 'depth': 0, 'duration_ms': 43832.37, 'chars': 1350}
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ£ô Extracted: Cognitive Infrastructure at Scale (1350 chars)
xentraldesk-worker  | INFO:app.connectors.website_connector:Γ£à TARGET INGESTION COMPLETE: 3/7 pages extracted.
xentraldesk-worker  | INFO:app.services.knowledge_service:≡ƒò╕∩╕Å SCRAPER DISCOVERED 3 DOCUMENTS
xentraldesk-worker  | INFO:app.services.ingestion_service:IngestionService: Starting ingestion for document a56cd44e-439e-4bbc-a086-e36d1340783b
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Status set to 'chunking'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Commit successful after chunking status
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Starting chunk deletion
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 0e962b6e-8643-44e3-9470-f2e8c6cc8e60: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document a56cd44e-439e-4bbc-a086-e36d1340783b: ingestion complete (ready)
xentraldesk-worker  | INFO:app.services.knowledge_service:Γ₧ñ Creating extra document [2/3]: Defining the Visionary Standard
xentraldesk-worker  | INFO:app.services.ingestion_service:IngestionService: Starting ingestion for document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Status set to 'chunking'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Commit successful after chunking status
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Starting chunk deletion
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 0e962b6e-8643-44e3-9470-f2e8c6cc8e60: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 7036cc35-73bf-4b41-8d1c-2f64585cdaf3: ingestion complete (ready)
xentraldesk-worker  | INFO:app.services.knowledge_service:Γ₧ñ Creating extra document [3/3]: Cognitive Infrastructure at Scale
xentraldesk-worker  | INFO:app.services.ingestion_service:IngestionService: Starting ingestion for document 0de6f770-19f3-4211-bb6a-320ed623358a
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Status set to 'chunking'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Commit successful after chunking status
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Starting chunk deletion
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 0e962b6e-8643-44e3-9470-f2e8c6cc8e60: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 0de6f770-19f3-4211-bb6a-320ed623358a: ingestion complete (ready)
xentraldesk-worker  | INFO:app.services.knowledge_service:Γ£ô ALL 3 DOCUMENTS FROM https://mcgatetechnologies.com/ HAVE BEEN PROCESSED
